# foot :: Right:0,Left:1
# position :: 'A':1, 'M':2, 'GK':3, 'D':4
id,name,rating,position,height,foot,rare,pace,shooting,passing,dribbling,defending,heading,diving,handling,kicking,reflexes,speed,positioning
106036,DennisEilhoff,69,GK,190,Right,0,,,,,,,74,66,63,75,49,64
106112,JulienFrançois,66,M,192,Left,0,51,52,64,55,68,67,,,,,,
106134,AndrewFrampton,63,D,185,Left,1,50,43,66,50,67,68,,,,,,
106202,MarekSaganowski,63,A,178,Right,1,67,63,41,60,61,69,,,,,,
106213,Iraola,79,D,182,Right,0,82,69,78,75,79,63,,,,,,
106222,Arriaga,59,A,171,Right,0,69,58,50,63,40,51,,,,,,
106231,Aduriz,79,A,182,Right,1,72,75,62,75,60,91,,,,,,
106436,ŁukaszSurma,60,M,173,Right,0,59,46,58,56,63,62,,,,,,
106510,DicksonChoto,68,D,192,Right,1,54,32,54,45,77,56,,,,,,
106539,Gabri,68,M,175,Right,0,66,60,68,66,67,67,,,,,,
106560,GrégoryPujol,77,A,183,Right,0,62,76,70,74,63,81,,,,,,
106573,Valdés,85,GK,183,Right,1,,,,,,,83,81,78,84,60,91
106582,DaniTortolero,63,D,184,Right,0,52,48,53,49,66,63,,,,,,
106710,GiacomoTedesco,67,M,176,Left,0,59,63,72,66,65,57,,,,,,
106795,GianlucaPegolo,62,GK,183,Left,1,,,,,,,57,68,58,66,47,60
106850,MirkoVučinić,81,A,186,Right,1,82,80,70,84,60,71,,,,,,
106868,AlbertoComazzi,61,D,178,Right,0,52,37,58,39,63,73,,,,,,
106874,DavideBrivio,70,D,185,Left,0,66,50,67,61,74,62,,,,,,
107078,MaxvonSchlebrügge,70,D,188,Left,0,54,56,50,43,70,67,,,,,,
107084,MichaelLanger,65,GK,193,Right,0,,,,,,,64,65,58,69,51,65
107103,MarcZiegler,72,GK,193,Right,1,,,,,,,73,69,73,70,27,74
107263,FahidBenKhalfallah,71,M,170,Right,0,76,62,69,74,49,50,,,,,,
107280,BenjaminGenton,66,D,188,Right,0,41,32,60,39,68,72,,,,,,
107298,YohannPelé,75,GK,196,Right,0,,,,,,,76,73,70,83,51,71
107305,MickaëlTacalfred,64,D,175,Right,0,64,55,63,60,66,68,,,,,,
107320,JohanAudel,73,M,180,Left,1,76,67,68,76,55,61,,,,,,
107494,AndreaCampagnolo,71,GK,184,Right,1,,,,,,,70,70,65,72,51,74
1075,AlessandroDelPiero,80,A,173,Right,1,56,79,82,84,50,43,,,,,,
107528,JohnMensah,76,D,180,Right,0,61,43,56,29,78,77,,,,,,
107579,FedericoAgliardi,66,GK,190,Right,0,,,,,,,65,63,55,70,50,67
107634,RenéRenno,60,GK,186,Right,0,,,,,,,66,60,63,51,30,64
10764,Juanfran,71,D,182,Left,0,70,52,67,63,75,64,,,,,,
107647,HamitAltintop,76,M,183,Right,0,74,78,77,74,73,67,,,,,,
107713,TomStarke,76,GK,195,Right,0,,,,,,,78,77,68,78,52,74
107715,Lúcio,85,D,188,Right,1,76,61,61,66,85,83,,,,,,
107758,MarkusThorandt,68,D,187,Right,0,67,44,59,49,70,71,,,,,,
107794,MarkusBollmann,64,D,190,Right,0,54,30,44,41,68,73,,,,,,
107796,MarkusKrösche,65,M,180,Right,0,61,49,48,46,70,73,,,,,,
10780,CésarNavas,75,D,194,Right,1,67,42,57,43,77,74,,,,,,
107901,CollinBenjamin,68,M,182,Right,0,68,61,71,70,68,66,,,,,,
107904,DenizDogan,66,D,182,Left,0,66,52,41,39,69,72,,,,,,
108061,RetoZiegler,78,D,183,Left,0,76,70,76,75,73,69,,,,,,
108075,Eduardo,69,A,178,Right,0,76,68,63,71,45,66,,,,,,
108080,StephanLichtsteiner,79,D,183,Right,0,79,58,74,71,79,73,,,,,,
10824,PatrickMtiliga,69,D,171,Left,1,86,58,57,64,67,65,,,,,,
108583,KrisDeWree,64,D,185,Right,0,63,53,58,55,64,64,,,,,,
10862,DelronBuckley,65,M,177,Left,0,75,64,57,68,48,56,,,,,,
10863,EnzoMaresca,73,M,180,Right,1,53,75,80,72,63,49,,,,,,
108658,MarcoStreller,74,A,195,Left,1,64,64,58,73,61,73,,,,,,
108734,FrankieHejduk,62,D,173,Right,0,70,53,51,55,63,64,,,,,,
108750,DavidDegen,68,M,185,Right,1,82,60,63,69,59,56,,,,,,
108784,WimDeDecker,64,M,186,Right,0,43,52,56,50,68,69,,,,,,
1088,AlessandroNesta,85,D,187,Right,1,54,36,58,57,83,78,,,,,,
10884,MichaelFlynn,60,M,178,Right,0,57,58,55,56,67,65,,,,,,
10899,ChrisPorter,65,A,185,Right,0,66,62,52,59,54,71,,,,,,
1092,AlanMurphy,56,A,174,Left,0,59,57,54,57,41,53,,,,,,
109321,ChristianWeber,64,D,175,Right,0,70,51,60,61,65,66,,,,,,
109416,AlexandrKerzhakov,82,A,176,Right,1,87,82,74,75,55,75,,,,,,
109493,BramCastro,65,GK,191,Right,0,,,,,,,65,65,67,66,54,64
10959,PabloAimar,83,M,170,Right,1,75,73,83,86,49,62,,,,,,
109693,Yakubu,73,A,183,Right,1,67,74,57,72,57,75,,,,,,
109724,PeterLøvenkrands,71,A,180,Left,1,69,70,75,74,54,66,,,,,,
109809,YoussefEl-Akchaoui,66,D,174,Left,0,65,66,68,64,66,65,,,,,,
109852,GarethMcAuley,69,D,191,Right,0,55,38,52,36,73,75,,,,,,
1099,MarcoDiVaio,81,A,179,Right,0,79,78,65,77,58,73,,,,,,
109910,MarkWilson,73,D,178,Right,0,72,36,67,66,71,74,,,,,,
109969,JuanPablo,73,GK,187,Right,1,,,,,,,77,72,69,79,55,68
109973,Ochoa,62,D,191,Left,0,43,41,49,41,65,60,,,,,,
11,RomainRocchi,67,M,183,Right,0,61,67,65,70,61,65,,,,,,
110019,Dorado,73,D,180,Left,0,59,33,55,45,72,72,,,,,,
110020,Pelegrín,70,D,184,Left,0,53,39,50,49,73,70,,,,,,
110023,Generelo,67,M,183,Right,0,57,67,71,57,67,52,,,,,,
110026,Cani,79,M,180,Right,0,81,74,76,81,57,59,,,,,,
110082,Pinto,72,GK,185,Right,1,,,,,,,78,75,78,69,43,68
110108,Luciano,62,D,184,Right,0,45,43,56,53,65,61,,,,,,
110117,BorjaOubiña,64,M,181,Right,1,57,56,67,67,52,49,,,,,,
110146,DaniMallo,62,GK,186,Right,0,,,,,,,66,60,55,64,41,57
1102,CarloCudicini,76,GK,185,Right,0,,,,,,,74,79,69,77,42,76
110272,Josemi,68,D,182,Right,0,73,49,66,57,72,64,,,,,,
110283,Duda,76,M,175,Left,1,68,77,84,74,61,60,,,,,,
110291,Manolo,68,D,173,Right,0,75,50,65,59,73,66,,,,,,
110297,Nacho,69,D,175,Left,0,73,55,69,68,70,60,,,,,,
110301,Juanma,67,M,176,Right,0,69,60,66,67,56,52,,,,,,
11031,SylvainWiltord,70,A,174,Right,0,72,68,67,70,51,67,,,,,,
110363,CarlosGarcía,69,D,184,Right,0,46,32,52,47,73,63,,,,,,
110368,EduAlbácar,68,D,177,Left,0,74,65,68,65,67,63,,,,,,
110371,MoisesHurtado,72,M,185,Right,1,43,50,62,52,77,63,,,,,,
110375,Crusat,74,A,162,Left,1,93,62,56,77,46,53,,,,,,
110376,JonathanSoriano,74,A,180,Right,1,74,72,59,70,52,74,,,,,,
110377,Corominas,68,A,171,Right,0,78,62,54,75,50,62,,,,,,
110379,Tariq,65,A,183,Right,0,41,64,40,50,54,80,,,,,,
110381,MaximilianoRodríguez,78,A,180,Right,0,70,76,76,80,60,63,,,,,,
110389,Carmelo,70,M,180,Right,0,68,59,67,77,52,54,,,,,,
110402,Sergio,71,D,191,Right,1,36,44,55,50,76,69,,,,,,
11044,TraianosDellas,72,D,196,Right,1,33,49,59,38,77,69,,,,,,
110525,DeleAdebola,64,A,191,Left,1,34,65,50,62,58,75,,,,,,
11056,GrégoryProment,69,M,176,Right,0,53,63,72,53,68,58,,,,,,
11061,PaoloOrlandoni,70,GK,186,Right,0,,,,,,,72,68,64,68,51,75
110627,Jofre,67,M,171,Left,0,71,57,60,73,43,54,,,,,,
110638,Alberto,64,GK,190,Right,1,,,,,,,57,68,60,61,47,75
110652,Riera,77,A,188,Left,0,77,74,75,79,58,65,,,,,,
110657,Güiza,74,A,180,Right,1,73,74,56,68,50,63,,,,,,
110677,Moyá,75,GK,185,Right,0,,,,,,,80,69,82,79,48,72
110691,KikeMateo,66,M,176,Right,0,63,63,60,64,62,68,,,,,,
110774,Rubén,74,D,187,Right,0,55,38,62,44,75,73,,,,,,
110787,Borja,70,M,188,Right,0,51,66,73,54,74,65,,,,,,
110810,Gaspar,65,D,182,Right,0,49,44,54,45,69,59,,,,,,
110811,Mario,74,D,178,Left,1,66,46,52,48,74,81,,,,,,
110842,Óscar,71,M,176,Right,1,69,72,71,68,51,62,,,,,,
110852,DeLucas,73,M,175,Right,1,72,72,77,71,50,55,,,,,,
110854,Aganzo,72,A,177,Left,1,67,66,46,69,49,84,,,,,,
110879,KevinKyle,69,A,191,Right,0,68,67,55,61,68,71,,,,,,
110880,SimonRamsden,61,D,183,Right,0,65,42,49,55,66,66,,,,,,
110907,StefanBuck,64,D,189,Left,1,61,48,52,56,68,75,,,,,,
110920,AlexanderSchnetzler,61,D,173,Left,0,68,46,58,63,57,58,,,,,,
110961,Aranburu,74,M,180,Left,0,55,67,65,59,75,64,,,,,,
11097,ChristianTimm,63,M,180,Right,1,78,59,54,68,47,60,,,,,,
110974,Riesgo,73,GK,185,Right,1,,,,,,,77,72,61,72,59,76
110979,Labaka,70,D,185,Right,0,53,50,55,51,73,73,,,,,,
110984,MikelAlonso,65,M,180,Right,0,56,61,66,57,61,56,,,,,,
111008,Albelda,77,M,181,Right,0,49,64,70,63,79,62,,,,,,
111022,DavidNavarro,74,D,183,Right,1,65,49,62,53,76,75,,,,,,
111023,Garrido,74,D,180,Left,1,72,66,72,66,71,66,,,,,,
111033,Tena,66,D,185,Right,0,61,41,45,49,68,79,,,,,,
111038,Jandro,70,M,175,Right,0,71,68,64,68,57,62,,,,,,
111040,PabloRedondo,68,M,175,Right,0,73,62,69,68,52,56,,,,,,
111041,Albiol,60,M,177,Right,0,68,45,60,60,62,54,,,,,,
111083,DaniBautista,65,D,177,Left,0,75,51,65,60,66,66,,,,,,
111085,Abel,69,M,182,Right,0,61,67,74,62,61,54,,,,,,
111091,Arteaga,65,A,167,Left,0,76,56,61,63,47,48,,,,,,
111093,Reyes,85,A,176,Left,1,88,79,78,87,47,52,,,,,,
111114,JaviVenta,71,D,180,Right,0,66,49,68,61,72,64,,,,,,
111125,OguchiOnyewu,73,D,194,Right,1,50,44,49,33,81,62,,,,,,
111137,Martí,74,M,180,Right,1,49,67,76,67,71,63,,,,,,
111163,SteeveElana,76,GK,187,Right,0,,,,,,,82,78,65,79,66,70
111172,AlexandreAlphonse,66,A,174,Right,0,79,65,58,74,43,60,,,,,,
111195,AndreasWolf,74,D,182,Right,0,56,47,59,40,75,74,,,,,,
111206,SaschaRiether,76,D,174,Right,0,77,58,74,69,72,74,,,,,,
111238,FlorianJarjat,60,D,181,Left,0,53,44,58,46,63,74,,,,,,
111306,RomainLarrieu,62,GK,188,Right,1,,,,,,,62,65,63,60,35,63
111310,GrahamCoughlan,56,D,188,Right,0,30,16,25,19,68,64,,,,,,
111320,PaulWotton,60,M,180,Right,0,53,56,52,47,65,56,,,,,,
111329,PaulConnolly,66,D,183,Right,0,65,39,65,66,68,67,,,,,,
111331,BlairSturrock,57,A,183,Right,0,65,53,35,39,46,65,,,,,,
11141,MiroslavKlose,81,A,184,Right,1,75,74,62,74,57,88,,,,,,
111477,FabienAudard,75,GK,188,Right,0,,,,,,,78,70,74,81,65,75
111503,ChaoukiBenSaada,72,A,170,Left,1,73,66,66,77,47,57,,,,,,
111545,Corona,65,D,182,Right,0,51,42,46,44,66,64,,,,,,
111590,LiamFeeney,64,M,183,Right,1,82,50,58,69,50,51,,,,,,
11165,ThomasButler,60,M,170,Right,1,54,49,59,70,51,53,,,,,,
111661,CarlosIdrissKameni,82,GK,186,Right,1,,,,,,,87,79,66,92,44,75
111694,BasSavage,51,A,191,Right,0,65,51,49,58,53,59,,,,,,
111710,GuilhermeAfonso,58,A,187,Right,1,81,55,58,67,45,51,,,,,,
11215,FlorianBruns,66,M,188,Left,0,68,64,64,63,65,66,,,,,,
112230,FranckBéria,76,D,177,Right,0,77,55,74,66,77,75,,,,,,
112243,SébastienGrax,64,A,180,Right,1,68,63,54,66,48,72,,,,,,
112244,JaroslavPlašil,81,M,182,Right,1,74,76,83,80,66,61,,,,,,
112251,BertrandRobert,67,M,174,Left,0,66,62,67,66,47,59,,,,,,
112253,JérémyToulalan,81,M,183,Right,0,64,53,79,70,79,72,,,,,,
112292,FrazerRichardson,64,D,178,Right,0,66,50,58,59,67,64,,,,,,
112293,ShaneCansdell-Sherriff,63,D,182,Left,0,60,33,61,58,65,70,,,,,,
112316,JérémyMathieu,76,D,190,Left,1,73,62,73,63,80,66,,,,,,
112352,RémiGomis,71,M,180,Right,0,69,58,63,65,75,72,,,,,,
112358,CédricBockhorni,57,D,182,Right,0,63,39,54,54,57,71,,,,,,
112362,FrançoisZoko,63,A,181,Right,1,74,67,56,62,56,65,,,,,,
112365,RenaudCohade,71,M,180,Right,0,64,66,71,69,75,71,,,,,,
112384,JulienCardy,67,M,176,Right,0,68,51,71,67,59,64,,,,,,
112389,ThibaultGiresse,68,M,172,Left,0,73,65,67,67,48,42,,,,,,
112393,CédricFauré,66,A,186,Right,1,52,70,50,60,49,78,,,,,,
112396,MichelRenggli,63,M,180,Right,0,59,59,58,62,66,67,,,,,,
112496,Matabuena,65,M,185,Right,0,50,54,60,48,66,64,,,,,,
112542,SergeyIgnashevich,77,D,186,Right,0,64,64,66,59,77,82,,,,,,
112549,JuanmaOrtiz,68,M,179,Right,0,71,58,63,71,67,65,,,,,,
112552,IvánHernández,73,D,185,Right,0,49,63,64,47,75,65,,,,,,
112556,DiegoRivas,72,M,180,Right,1,57,55,64,48,78,55,,,,,,
112560,Richi,64,M,187,Right,0,39,56,62,61,66,57,,,,,,
112561,Asen,63,A,181,Right,1,60,63,48,58,45,66,,,,,,
112593,Josetxo,67,D,185,Right,0,43,43,48,40,70,61,,,,,,
112594,PabloContreras,77,D,181,Right,0,65,45,59,48,77,75,,,,,,
11260,JimGoodwin,61,M,183,Left,0,66,43,59,65,64,61,,,,,,
112628,DavidLopez,74,A,181,Right,1,71,72,81,74,52,50,,,,,,
112640,AntonioLópez,74,D,175,Left,1,72,59,68,62,76,70,,,,,,
112647,Culebras,64,D,187,Right,0,49,43,51,46,69,64,,,,,,
112712,Juninho,76,M,178,Right,1,59,82,84,79,58,61,,,,,,
112745,CristianFiél,68,M,182,Left,0,54,63,66,64,69,59,,,,,,
112778,JesúsVázquez,68,M,182,Left,0,65,63,58,61,70,68,,,,,,
112811,FousseniDiawara,66,D,183,Right,0,66,47,56,48,64,68,,,,,,
112847,JermaineJones,77,M,184,Right,0,77,69,70,72,79,74,,,,,,
112875,Peña,70,D,170,Left,0,72,49,69,63,68,64,,,,,,
11288,MartinDevaney,61,A,178,Right,0,69,54,60,67,42,43,,,,,,
112883,Clavero,62,D,175,Left,0,71,37,60,51,66,54,,,,,,
112920,Jaio,67,D,186,Right,0,52,36,44,39,71,63,,,,,,
112978,Merino,66,M,175,Right,0,67,67,64,72,41,40,,,,,,
11301,JonHarley,61,D,178,Left,0,57,52,59,54,61,61,,,,,,
113045,MauricioPinilla,78,A,185,Right,0,77,73,67,74,59,81,,,,,,
113176,FedericoBalzaretti,80,D,178,Left,0,83,60,78,78,72,71,,,,,,
113184,DavideMandelli,73,D,190,Left,1,48,42,57,43,77,78,,,,,,
113188,VladaAvramov,68,GK,187,Right,0,,,,,,,69,65,63,72,56,72
113219,MicheleMarcolini,71,M,173,Left,1,65,69,75,65,64,59,,,,,,
113220,PaoloZanetti,66,M,186,Right,0,64,50,67,61,70,64,,,,,,
113278,FrancescoModesto,72,M,177,Left,1,77,59,72,68,71,64,,,,,,
